CAPITAL;CASOS_SC;CASOS_SG;N_NV;Prop_COB_ESF;Porc_COB_ESF;N_FAMILIAS_BF;N_GEST_10_19_CAD;N_GEST_20>;N_GEST_CAD;REPASSE_SF_REAIS;N_GIN/OBST;N_MEDICO_ESF;Porc_BRANCA;Porc_PRETA;Porc_AMARELA;Porc_PARDA;Porc_ INDIGENA;Porc_PRENAT_NAO;Porc_INADEQ;Porc_INTERMED;Porc_ADEQ;Porc_MAIS_ADEQ;INST_0;INST_1_3;INST_4_7;INST_8_11;INST_12>;ID_10_14 ;ID_15_19;ID_20_24;ID_25_29;ID_30_34;ID_35_39;ID_40 _44;ID_45_49
Porto Velho;92;131;9093;0,573;57,270;1173;282;4544;4826;5.156.670,00;58;60;17,8;3,1;0,3;78,4;0,5;0,1;32,5;10,8;9,9;46,7;40;310;2316;4432;1774;101;1792;2472;2203;1624;730;166;5
Rio Branco;42;216;6965;0,578;57,830;4938;381;12501;12882;2.979.885,00;9;51;9,4;2,7;0,7;86,9;0,3;1,1;34,1;10,8;10,0;44,1;48;321;1765;3240;1514;86;1475;1763;1606;1226;651;151;7
Manaus;355;759;42342;0,331;33,130;;;;0;13.136.915,00;263;136;4,5;0,3;0,1;95,0;0,1;0,2;32,9;12,5;12,3;42,2;94;622;7726;26563;7073;528;8711;11599;9497;7425;3685;857;38
Boa Vista;24;97;6719;0,592;59,160;;;;0;2.404.000,00;31;50;9,3;2,2;0,1;84,2;4,3;0,1;32,7;11,2;9,8;46,3;36;63;838;4222;1535;79;1345;1908;1566;1151;562;100;7
Belém;181;274;21250;0,243;24,320;1102;61;10348;10409;6.678.365,00;203;83;11,3;1,5;0,2;86,9;0,1;0,6;25,0;9,5;8,2;56,7;40;294;3594;12834;4338;162;3840;5808;5040;4009;1929;425;33
Macapá;86;114;9492;0,641;64,100;;;;0;4.167.910,00;42;70;13,6;6,6;0,1;79,6;0,1;2,6;37,8;16,1;12,4;31,2;82;305;1822;5311;1931;133;2123;2492;2121;1566;843;199;13
Palmas;63;62;5198;0,845;84,490;;;;0;4.820.620,00;25;50;20,9;6,9;1,5;70,5;0,1;0,5;19,2;8,6;10,1;61,6;6;44;489;2978;1678;26;764;1319;1311;1108;555;111;4
São Luís;183;295;16998;0,357;35,660;300;25;7389;7414;7.263.942,00;117;58;15,1;4,0;0,3;80,5;0,1;0,5;27,0;17,6;13,1;41,8;31;148;1761;11326;3553;128;2709;4410;4445;3389;1560;337;19
Teresina;242;152;13976;1,000;100,000;;;;0;18.975.540,00;140;170;14,8;4,8;0,9;79,4;0,1;0,6;19,8;8,2;8,9;62,6;31;280;2314;7613;3638;108;2065;3165;3695;3160;1462;303;16
Fortaleza;680;240;39512;0,516;51,640;27267;911;44820;45731;20.714.336,00;334;322;6,6;0,6;0,1;92,7;0,1;0,3;23,2;11,1;12,7;52,6;126;715;6935;22752;7864;374;6049;9411;9915;8474;4222;990;65
Natal;209;48;12239;0,468;46,820;;;;0;6.658.410,00;165;102;33,3;2,2;0,2;64,2;0,0;0,7;23,7;10,6;8,8;56,1;45;269;2535;6194;2906;121;1825;2767;3061;2721;1407;322;14
João Pessoa;144;60;12299;0,831;83,080;;;;0;12.552.060,00;176;154;23,9;1,7;0,5;73,7;0,2;0,7;18,1;10,7;9,0;61,6;33;285;1933;6671;3330;101;1749;2811;3180;2825;1319;292;20
Recife;581;193;23664;0,523;52,330;404;355;54959;55314;20.079.495,00;391;184;26,7;5,9;0,4;66,9;0,1;0,6;26,4;10,0;9,7;53,3;61;499;3871;12811;6302;185;3554;5482;5766;5346;2682;613;34
Maceió;211;78;15558;0,295;29,510;1455;2176;14611;16787;7.242.350,00;178;45;12,4;0,9;0,1;86,5;0,0;0,6;26,9;12,6;13,7;46,2;116;479;3449;8152;3279;184;3366;3950;3545;2837;1373;293;8
Aracaju;71;96;9662;0,758;75,770;6124;1603;21112;22715;10.968.760,00;134;79;18,9;7,3;1,7;71,8;0,3;0,5;19,2;13,0;11,0;56,2;31;237;1730;4987;2674;80;1505;2077;2296;2221;1177;293;13
Salvador;688;589;36637;0,272;27,220;2277;797;28197;28994;13.416.930,00;465;176;10,6;26,3;0,3;62,6;0,1;1,2;27,1;11,3;10,2;50,1;55;555;5903;21252;8553;262;4822;7683;8303;9001;5239;1250;68
Belo Horizonte;344;481;32080;0,802;80,160;;10155;141138;151293;46.939.498,00;797;452;33,9;9,4;0,9;55,8;0,1;0,4;15,1;5,8;6,7;72,0;27;261;2856;17938;10894;113;3370;6058;6972;8687;5607;1202;65
Vitória;60;113;4687;0,733;73,340;;;;0;5.528.302,00;92;58;27,9;3,9;0,2;68,0;0,0;0,4;13,0;5,5;5,4;75,6;3;54;654;2169;1772;25;543;838;1038;1247;820;165;10
Rio de Janeiro;1780;2719;90694;0,441;44,060;46054;28043;144082;172125;62.849.652,00;1029;891;37,3;9,0;0,3;53,4;0,0;0,9;19,4;4,6;5,5;69,6;85;1389;15430;49594;22652;645;13202;20216;20475;20539;12394;3034;173
São Paulo;1534;2739;176313;0,316;31,620;83467;35540;169846;205386;83.777.099,50;2196;917;50,1;6,6;1,3;41,6;0,5;0,9;16,7;6,1;6,3;70,0;157;1057;15655;109004;50130;761;21750;37536;41539;42249;25722;6313;417
Curitiba;159;431;24506;0,426;42,610;18862;8999;40416;49415;19.029.720,50;342;182;87,4;2,4;0,5;9,7;0,0;0,1;10,9;2,6;2,8;83,5;16;145;2413;12662;9155;94;2680;5083;5839;6261;3734;761;49
Florianópolis;56;99;6135;0,994;99,420;536;181;3039;3220;10.030.390,00;122;107;86,2;7,9;0,2;5,7;0,0;0,6;19,5;5,2;6,8;68,0;6;196;892;2508;2520;22;601;1161;1350;1718;1065;197;20
Porto Alegre;595;423;19724;0,416;41,610;;782;6771;7553;11.317.282,00;425;75;74,6;14,6;0,1;10,5;0,1;1,7;21,3;5,5;5,1;66,3;32;183;3150;10027;6329;110;2560;4070;4057;4898;3252;725;50
Campo Grande;107;335;14470;0,347;34,720;6230;1813;18004;19817;7.113.978,00;116;48;35,2;2,0;0,2;62,0;0,6;0,6;18,0;10,8;9,3;61,3;23;127;1649;8644;4025;96;2223;3761;3643;2987;1457;288;15
Cuiabá;120;55;10689;0,371;37,080;;;;0;5.176.256,00;124;48;21,2;4,8;0,4;73,4;0,1;0,2;19,9;6,9;8,4;64,7;11;33;652;6570;3423;59;1606;2534;2873;2287;1099;220;11
Goiânia;96;211;22866;0,432;43,240;500;38;;38;13.453.280,00;338;138;40,8;2,8;1,0;55,2;0,1;0,2;16,3;5,9;7,5;70,0;24;410;2992;11232;7819;98;2721;5157;6148;5404;2726;578;23
Brasília;239;287;46122;0,302;30,240;9389;4625;26273;30898;16.943.430,00;712;235;28,4;3,5;0,5;67,5;0,1;1,0;19,6;6,3;6,6;66,5;73;590;6581;22195;16074;207;5472;9748;10932;11502;6654;1502;99
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
